Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
Magnificent location,Stilbaai Wes,760000,0,0.0,0,0
Beautiful Scenery Stand,Stilbaai Wes,795000,0,0.0,0,0
Ideal location and Close to the River,Stilbaai Wes,695000,0,0.0,0,0
Central in Umkomaas,"Umkomaas, 19 Harvey",1450000,5,2.0,3,0
"2 Houses & 2 Flats on corner property Deneysville, Vaal Dam",Deneysville,1750000,10,6.0,6,1
Boundless opportunity,Safari Gardens,2550000,5,6.0,6,0
Large Corner Stand in the Industrial Area of Port Alfred,"Port Alfred, 9 Wiersma Road",299000,0,0.0,0,0
"Large, secure, family home, centrally situated",Barberton,1300000,3,3.0,0,0
Three bedroom facebrick home on West bank of Port Alfred,"West Beach, 8 Curlew Crescent",1450000,4,2.0,2,2
Brettenwood Garden Estate,Reyno Ridge,800000,3,2.0,1,0
Parys - large stand next to popular resort,Parys,920000,0,0.0,0,0
Piece of heaven in Bainskloof,Bainskloof,3700000,4,2.5,2,0
Big house with big potential,Barry Hertzog Park,950000,5,1.5,0,0
Vacant plot Vredefort Business rights,"Vredefort, 7 Water Street",165000,0,0.0,0,0
On the Beach,Paradise Beach,1080000,0,0.0,0,0
Premium plot with views for days,"Santareme, 33 Ibizia Crescent",640000,0,0.0,0,0
Vacant land with unbeatable sea views in Port Alfred,"West Beach, 20 Francolin Road",550000,0,0.0,0,0
Elegance & Stylish,Wavecrest,4200000,6,6.0,7,0
"Sea Views from this plot in Emerald Heights, Port Alfred","Emerald Heights, 6420 Emerald Heights",285000,0,0.0,0,0
Vacant land on West Bank in Port Alfred,"West Beach, 10 Curlew Crescent",450000,0,0.0,0,0
Own your own sanctury.,Geelhoutpark,945000,3,3.0,2,1
Amazing property with Granny Flat!,Meer En See,3225000,7,3.0,4,2
SecureEstate,"Mount Edgecombe Country Club Estate, 77 Kindlewood Drive, 20 The Wolds",2940000,3,3.0,3,2
Big stand for sale in Olifantsnek!,Olifantsnek,720000,0,0.0,0,0
A dream opportunity! Home or business!,Meer En See,3250000,6,6.0,7,3
Excellent value for money - Hartbeespoort,Melodie,795000,2,2.0,0,0
Another Price Drop  - No Maintenance Required!,Piet Retief,2415000,4,4.0,0,0
2 bedroom apartment development in Hatfield,Hatfield,1395000,2,2.0,0,0
"Vacant property for sale in Klipdrif, Pretoria.",Walmansthal AH,7150000,0,0.0,0,0
Comfortable Living in the village of Kwambonambi.,Kwambonambi,1530000,5,4.0,3,3
Spacious Family Home,Geelhoutpark,800000,3,2.0,2,1
The Ultimate Townhouse With Private Beach Access,"Bluff, 7/44 netford road",3950000,3,3.0,2,0
Vacant Land For Sale In Sea Breeze Drive Port Alfred,"Emerald Heights, 33 Sea Breeze Drive",150000,0,0.0,0,0
"Prime vacant land in Emerald Heights, Port Alfred","Emerald Heights, 15 Sea Mist Drive",200000,0,0.0,0,0
Executive Residential Guesthouse on the Vaal Dam,Deneysville,3550000,9,8.0,0,0
2 Bedroom Apartment,Waterval East,500000,2,1.0,0,0
Hilton,"Hilton, 10 Hilton College Road",3000000,0,0.0,0,0
This large stand in Karmosyn Vleesbaai is now for sale.,Vleesbaai,1022000,0,0.0,0,0
Large well situated stand in Karmosyn Vleesbaai for sale.,Vleesbaai,1180000,0,0.0,0,0
Sheltered Plot with a Sea View,"Khamanga Bay, 178 Umthombe Crescent",550000,0,0.0,0,0
2 Bedroom House Boitekong,Boitekong,455000 ,2,2.0,1,0
"Secure Estate, up market home in Zinkwazi",Zinkwazi Beach,5849000,4,4.5,4,2
Start Dreaming,C Place,363000,0,0.0,0,0
A perfect family home for easy living,Steiltes,2950000,5,2.0,3,2
Staying in Nature - Nature Reserve Estate,Buffelspoort Eco Estate,450000,1,1.0,0,0
A good investment opportunity,"Santareme, 3 Ibizia Crescent",470000,0,0.0,0,0
Vacant Land For Safe In Sea Rest Port Alfred,"Port Alfred, 8/0 Sea Rest Street, Sea Rest Estate",140000 ,0,0.0,0,0
No Transfer Cost between you & becoming a home owner!!!,"Raslouw, 15/460 Jewel beetle",1299900,3,3.0,0,0
Modern Townhouse in Piet Retief,Piet Retief,950000,2,1.0,0,0
Brand New Townhouses at Raslouw,"Raslouw, 20/130 jewel beetle",1299900,3,2.0,0,0
Stand with breathtaking views in Extension 26 !!!,Mossel Bay Central,710000,0,0.0,0,0
3 Bedroom Townhouse Safari Gardens,Safari Gardens,2107500,3,2.0,4,2
Elegant Understated Class.,Myburgh Park,4950000,4,4.0,4,0
Mdantsane Nu 16,Mdantsane,330000,2,1.0,0,0
Six bedroom duplex  on secure Farm Resort Port Alfred,"Port Alfred, 22/0 Greenfountain Farm Chalets",1500000,6,6.0,0,0
Parys Golf River Front,Parys Golf & Country Estate,850000,0,0.0,0,0
Promotional pricing Limited Offer,Zinkwazi Beach,190000,4,3.0,0,0
Duplex in Secure Area.,Arboretum,850000,2,3.0,2,1
"Luxury Agricultural Holding, It's A Must See!!!",Raslouw,4900000,5,5.0,2,0
Riverside Country Estate,Roodeplaat,1080000,0,0.0,0,0
Corner stand unit with swimming pool,Waterval East,1130000,3,2.0,0,0
Splendor in Private Game Reserve.,"Buffelsdrift AH, Plot/132 Rivierpad, Buffelsdrift Game Reserve",1970000,3,2.0,0,0
Riverfront stand in upmarket estate - Hartbeespoort,"Broederstroom AH, 283 Port D'Afrique",549000,0,0.0,0,0
Kind of house you steal ideas from in Vredefort.,Vredefort,495000,3,1.0,1,1
Very large house in Parys with potential for a guesthouse.,Parys,2160000,6,4.0,1,0
Light and Bright Beach front executive home.,Calypso Beach,6950000,3,3.0,1,0
"Secure Flat overlooking the Vaal Dam Waterfront, Deneysville",Deneysville,392000,2,1.0,1,1
Vacant Land With Sea Views In Milkwood Estates Port Alfred,"Forest Downs, 8 Milkwood Estate",149000,0,0.0,0,0
Bargain - make it yours!!,"Buffelsdrift AH, Plot/104 Boloop Buffelsdrift Game Reserve",350000,0,0.0,0,0
Villa Gazelle Townhouse for sale!,Reyno Ridge,1040000,3,2.0,0,0
Business oppertunity Guest house,Del Judor,3746000,11,11.0,0,0
Beach House set in Milkwood trees - Zinkwazi Beach,Zinkwazi Beach,8580000,4,4.0,0,0
Plot/ Land available in Stilbaai,Stilbaai Wes,855000,0,0.0,0,0
Lovely stands in secure Estate at excellent prices.,Helderwyk,854000,0,0.0,0,0
Lagoon Property! - Zinkwazi Beach,Zinkwazi Beach,9985000,6,4.0,0,0
Country Feeling Family Home,"St Francis Links, 86 Jack Nicklaus Drive",4200000,3,3.0,3,2
Holiday Investment!,"Oyster Bay, 173 Kabeljou Street",440000,0,0.0,0,0
Leeuwfontein Estates,Leeuwfontein Estate,750000,0,0.0,0,0
Hurry! 3 Bedroom House with Garage in a very popular area,Esikhawini,595000,3,1.0,1,1
Brand New! Two bedroom duplex in Raslouw A.H,"Raslouw, 460 Jewel Beetle",1099900,2,2.0,2,0
Vacant Land Leeuwfontein Estates,"Leeuwfontein Estate, 299/222 Fish Eagle Street",800000,0,0.0,0,0
Large Stand with Sea View,Stilbaai Oos,920000,0,0.0,0,0
Investors Dream!!,Rustenburg,3850000,2,1.0,2,2
"Trendy, spacious and secure!",Nieuw Muckleneuk,1370000,2,2.0,0,0
"Spacious Plot With 5 Flats On Mantevrede, Vanderbijlpark",Mantevrede,3500000,3,1.0,2,2
The Ultimate in Designer Living,Stilbaai Wes,5730000,4,4.0,5,3
"House for sale in Leeuwfontein, Pretoria.",Leeuwfontein,3750000,3,2.0,0,0
Investors Opportunity!,Kruisfontein,100000,0,0.0,0,0
Large vacant stand with ocean views in Da Gama,"Da Gama Bay, 05 Capstan Road",532000,0,0.0,0,0
New and Modern 2 bedroom unit in Fairways Gardens Estate!,The Orchards,520000,2,1.0,1,0
"Buy an Upmarket Holiday Resort at Vaal Dam, in Deneysville",Deneysville,15000000,28,24.0,26,2
When Only the Best Will Do*,Wavecrest,4500000,4,3.0,3,2
Reduced by R100 000! Only 5 Left!,"Amber Valley, 2/3 Karkloof Road",1195000,1,1.0,0,0
Promotional Pricing - Limited offer,Zinkwazi Beach,190000,4,3.0,0,0
Beautiful Views & Close to main road,Karino,545000,0,0.0,0,0
Beautiful views & close to main Road,Karino,545000,0,0.0,0,0
Beautiful Views & close to main road,Karino,2715000,0,0.0,0,0
Vacant Small Holding For Sale in Raslouw AH,Raslouw,1080000,0,0.0,0,0
VACANT plot of 2.9 ha in Raslouw,Raslouw,6500000,0,0.0,0,0
Vacant Land in Marshstrand Haga Haga,"Marshstrand, 116 Marshstrand",500000,0,0.0,0,0
Nice view from balcony!!,Safari Gardens,1300000,4,4.0,0,0
Huge stand 2000m2 with beautiful sea view - Mtwalume,"Mtwalume, 148 Cabin Road",550000,0,0.0,0,0
Do you need space!!! This is for you!!! in East End.,Oos Einde,999000,5,3.0,3,1
Prime property on the banks of the Vaal River.,Parys,1600000,3,1.0,3,0
Stand with breathtaking views in Extension 26 !!!,Mossel Bay Central,710000,0,0.0,0,0
a Perfect warm family townhouse !!!,Sharon Park,846000,2,2.0,0,0
Family Home,Barberton,2180000,4,2.0,0,0
Lock up and Go!,Safari Gardens,610000,2,1.0,1,0
"Adorable, Affordable and Secure 3 Bedroom home on Coast!","Hibberdene, 36/R102 Hibberdene River Resort/Capri Crescent",485000,3,1.0,1,0
"So, So Close to High School!!!",Protea Park,1260000,3,1.0,1,0
You can afford your own property today!,Rustenburg,450000,2,1.0,1,0
"Vacant Land, with distant Sea Views in Ballito","Ballito Central, 3 Hilary Drive",1550000,0,0.0,0,0
"Vacant Land in a Secure, Gated Country Estate in Port Alfred","Port Alfred, 48 Umdoni Downs Street",350000 ,0,0.0,0,0
Lovely Spacious house in Cashan,Cashan,2660000,4,2.0,2,2
Large stand in upmarket estate - Hartbeespoort,Xanadu Eco Park,598000,0,0.0,0,0
Spacious 4 bedroom townhouse - Arcadia,Arcadia,1890000,4,2.5,0,0
"Peace and tranquility,  Raslouw Centurion","Celtisdal, 1377/25 Philirene Road",2621194,3,2.0,3,2
"By direct from developer, security estate, Raslouw Centurion","Celtisdal, 1375/25 Phillirene Road",2778686,3,3.0,3,2
"Brand new Straight from the Developer, Raslouw, Centurion","Celtisdal, 1353/25 Philirene Road",2433438,3,2.0,2,2
Three Bedroom Home in Riverview Estate in Port Alfred,"Riverview Water Front Estate, 5 Plantation Road",3495000,3,3.0,2,0
The White House Franschhoek Living,Franschhoek,8500000,2,4.0,3,2
Stunning Sea Views,Paradise Beach,3885000,5,3.0,4,1
"Stylish and comfattable Home in New Developement, Raslouw","Celtisdal, 1318/25 Philirene Road",2442258,3,2.0,2,2
Achieve The Ultimate Dream,C Place,363000,0,0.0,0,0
Watch This Space!,"Stilbaai Wes, 4518 Kloofpark",450000,0,0.0,0,0
Land for sale in Crowder,"Craigieburn, 47 Crowder farm  no 6576",285000,0,0.0,0,0
"22ha Operational Small Holding near Deneysville,Vaal River",Deneysville,7550000,4,2.0,6,3
"Farm House, generates income, near Deneysville, Vaal Dam.",Deneysville,7600000,4,2.0,3,3
"Lovely Village Home , Currently Run As A Guesthouse",Franschhoek,11500000 ,7,7.0,3,0
Do you want the right address in Empangeni?,Kildare,1295000,3,2.0,2,2
"Stunning family house in Palm Lakes, Ballito","Ballito, 9 Palm Lane",5900000,4,3.5,4,2
Spacious House !! Great entertainment area!!!,Swartruggens,1410000,3,2.0,4,0
Views!!! - Vacant stand in Kompanje's Kloof,"Stompneus Bay, 09 Schipper Street",212500,0,0.0,0,0
Double Storey Family Home,Deneysville,750000,3,3.0,3,2
"Family Business with house in Deneysville, at Vaal Dam",Deneysville,5500000 ,2,2.0,2,1
Set in historical town of Barberton....,Barberton,999000,4,2.0,2,0
"Luxury Living, on Boating Vaal River near Deneysville.",Deneysville,2600000,4,2.0,2,0
For the Developers in Azalea Park!,Azalea Park,810000,0,0.0,0,0
Stands For the developers in Azalea Park,Azalea Park,810000,0,0.0,0,0
Vacant Land/Plot for Sales in Country Club,"Country Club, 2 Bogey Boulevard",550000,0,0.0,0,0
Potential ! ! ! !,Amajuba Park,1000000,4,2.0,0,0
1 ha Vacant Land with awesome views of the Lowveld,Karino,545000,0,0.0,0,0
"Deneysville, a vacant stand near Deneysville Primary School.",Deneysville,125000,0,0.0,0,0
Great Plot at give away price.,"St Francis On Sea Phase I, 324 St Francis Dive",175000,0,0.0,0,0
Build your home now in Elysium,"Elysium, 20 Coral road",420000,0,0.0,0,0
A piece of Elysium waiting for a dream home,"Elysium, 253 River sand Drive",530000,0,0.0,0,0
On the beachfront!,"Pennington, 35 Salmon Drive",2775000,6,5.0,5,1
In A Class Of It's Own!,Wavecrest,600000,0,0.0,0,0
Vacant land in Elysium,"Elysium, 248 Riversand Drive",575000,0,0.0,0,0
Close to schools and shops,Rustenburg,810000,3,2.0,0,0
Ideal Business Premises Bluff,Bluff,3800000,0,0.0,0,0
On the way to the Yacht club at the Vaal Dam!,Deneysville,1690000,5,3.0,0,0
Back in the Market!,Cashan,640000,3,2.0,0,0
Big family house in Tasbet Park,Tasbet Park,1900000,4,3.0,0,0
Close to School with granny flat In The Heart Of Parys,Parys,750000,3,2.0,2,0
2 Bedroom Townhouse for sale in Safari Gardens!,Safari Gardens,680000,2,1.0,1,1
Masive Residential Development Opportunity! Prime Location!,Izotsha,54000000 ,0,0.0,0,0
Spacious home with big stand in Safari Gardens,Safari Gardens,3190000,4,3.0,0,0
Hit the jackpot at Rustenburg CBD,Middedorp,420000,2,1.0,0,0
Two Bedroom Sunny apartment near Kingswood College for sale,"Kingswood, 18/18 Caldecott Street",731400,2,2.0,2,0
Level plot in an Up-Market Estate,Khamanga Bay,550000,0,0.0,0,0
Ellegant Property for the Housing Connoisseur,Selcourt,4475000,6,4.0,9,4
Magnificent Modern Home,Safari Gardens,2350000,5,3.0,1,2
Flat for sale in Rustenburg,Middedorp,495000,2,1.0,1,0
Close to the Waterfront,Vaal Marina,1100000,3,2.0,1,0
Family Home,Barberton,1420000,4,4.0,4,0
Vacant Land/Plot for Sale in Middedorp,"Middedorp, 23 Dassen Street",910000,0,0.0,0,0
Comfy in Safari Gardens,Safari Gardens,1750000,4,2.0,0,0
Buy and Look. . .,Madadeni,400000,2,1.0,0,0
Inexpensive for the valve recieved,Oos Einde,430800,2,1.0,1,0
Invest now..,Madadeni,400000,2,1.0,0,0
Stunning position and close to the Beach!,Stilbaai Oos,566000,0,0.0,0,0
For the beginner,Waterval East,545000,1,1.0,1,0
Large walled Corner Stand near Vaal Dam in Deneysville,Deneysville,175000,0,0.0,0,0
Executive up market home in Zinkwazi Beach,Zinkwazi Beach,,7,6.5,6,2
This house has everything you need!!,Cashan,2650000,5,3.0,6,0
Must see! Invitation to a world of class.,Barberton,4853000,4,3.0,6,4
Waterfront Stand,Vaal Marina,590000,0,0.0,0,0
Style & Luxury with Spectacular Views - Myburgh Park,"Myburgh Park, 17 Viooltjie Close",3650000,3,3.5,0,0
Modern Luxury Living on secure Golf Estate,Emfuleni Golf Estate,4550000,5,3.0,0,0
On The Beach!,Paradise Beach,2580000,6,4.0,0,0
"Something special - Slanghoek, Worcester",Worcester Central,7500000,5,5.0,0,0
"Dam views, Foundations Complete, stand in Deneysville.",Deneysville,350000,0,0.0,0,0
"Water view from large vacant stand in Deneysville, Vaal Dam",Deneysville,380000,0,0.0,0,0
"Well situated Vacant Land in Deneysville, Vaal Dam",Deneysville,90000,0,0.0,0,0
Lovely 2 bedroom flat for sale!!,"Bronkhorstspruit Central, 28 Cathy",530000,2,1.0,1,0
Land + Building Plans for sale on the Mzingazi Golf Estate,Meer En See,1000000,0,0.0,0,0
Exclusive Estate Living in Zinkwazi Beach,Zinkwazi Beach,7899000,4,3.0,4,2
Seaview prime location,Tergniet,1100000,0,0.0,0,0
Ready To Be Buildt On,Aston Bay,360000,0,0.0,0,0
A Stroll away from the beach,"Paradise Beach, 11 Dirk Fourie Drive",270000,0,0.0,0,0
Vacant Land For Sale in Parys,Parys,1400000,0,0.0,0,0
Excellentl Pricing  - Limited Time Offer,Zinkwazi Beach,190000,4,3.0,3,1
Plenty of rooms and opportunity,"Jeffreys Bay Central, 30 Villa Vy, Woltemade Street",3720000,18,11.0,3,0
Own this elevated piece of land with lovely Sea-views!,Freeland Park,585000,0,0.0,0,0
"Privacy, Views, Position & Much More",Jeffreys Bay Central,3120000,4,4.5,0,0
Stand for Sale in Ben Fleur,Ben Fleur,647000,0,0.0,0,0
Modern spacious four bedroom in Waterval Eas,Waterval East,1200000,4,3.0,2,1
"Beautiful Sea Views in Mount Richmore Estate, Ballito.","Mount Richmore Village Estate, 1066 Dolphin Ridge",1887000,0,0.0,0,0
Home with Ocean Views and Great Appeal,Stilbaai Wes,2350000,3,2.0,0,0
7 Bedroom House Guest House in BO - DORP,Rustenburg,2180000,7,7.0,7,0
"Modern, Immaculate and Super Position",Canals,11994000,5,5.0,6,2
Plot & Plan,"Wavecrest, 34 Blackwood Street",1750000,3,2.0,6,0
Sunny & Single Level,Wavecrest,1750000,3,2.0,6,0
Magnificent stand in upmarket gated estate,Dana Bay,745000,0,0.0,0,0
4 Bedroom Yzerfontein house--Stunning sea views,"Yzerfontein, 32 Versveld Street",4900000,4,4.0,3,2
Parys Stunning Land Opportunities,Parys,260000,0,0.0,0,0
Peaceful Country Living!,"Misgund, 286 Ptn 68/286 Somerset Gift",1825000,5,2.0,0,0
Great value for a family,Waterval East,885000,3,2.0,0,0
Executive Residence,Barberton,6500000,4,3.0,0,0
House for sale in Rustenburg North,Rustenburg North,450000,3,1.5,0,0
Stunning plot of Land with Stunning Sea-Views,"Freeland Park, 27C Sylvia Street",870000,0,0.0,0,0
Luxury Living in St Francis Bay,"St Francis Links, 113 Jack Nicklaus Drive",350000,0,0.0,0,0
Large stand with 2 homes,"Park Rynie, 51/53 Preston Road",3500000,5,4.0,4,3
Secure Estate stand in Parys,"Parys Golf & Country Estate, 3210 Blue Crane Avenue",300000,0,0.0,0,0
Secure Estate stand in Parys,"Parys Golf & Country Estate, 3185 Swallow Avenue",300000,0,0.0,0,0
Secure Estate stand in parys,Parys Golf & Country Estate,250000,0,0.0,0,0
Secure Estate Stand in Parys,Parys Golf & Country Estate,350000,0,0.0,0,0
Secure Estate Stand in Parys,Parys Golf & Country Estate,375000,0,0.0,0,0
Secure Estate Stand in Parys,Parys Golf & Country Estate,300000,0,0.0,0,0
Secure Estate Stand in Parys,Parys Golf & Country Estate,350000,0,0.0,0,0
Secure Estate in Parys,"Parys Golf & Country Estate, 3236 Starling Avenue",425000,0,0.0,0,0
Secure estate stand in Parys,Parys Golf & Country Estate,200000,0,0.0,0,0
Awesome piece of paradise Tugela Mouth,Tugela Mouth,1150000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3224 Starling",345000,0,0.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,450000,0,0.0,0,0
Parys Golf Estate,"Parys Golf & Country Estate, 3088 Plover Avenue",400000,0,0.0,0,0
Parys Golf Estate  for development,"Parys Golf & Country Estate, 3091 King Fisher Avenue",600000,0,0.0,0,0
Parys Golf and Country Estate,"Parys Golf & Country Estate, 3144 Blue Crane Avenue",375000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3365 Hadeda Avenue",325000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3364 Hadeda Avenue",325000,0,0.0,0,0
"Selling for less than R570,00!",Oos Einde,542000,3,1.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3358 Hadeda Avenue",325000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3320 Starling Avenue",225000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3362 Hadeda",325000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3368 Hadeda",325000,0,0.0,0,0
4 Bedroom House Myburgh Park Langebaan,"Myburgh Park, 36 Harpuisbos Street",6995000,4,4.0,4,2
"2nd Floor Apartment overlooking Vaal Dam, in Deneysville","Deneysville, 13-14/36 Waverley St",430000,2,2.0,2,2
"Secure living in comfort at the Vaal Dam,Deneysville","Deneysville, 15-16/36 Waverley St",490000,3,2.0,2,2
Secure estate stand in Parys,"Parys Golf & Country Estate, 3193 Blue Crane",400000,0,0.0,0,0
Secure estate stand in Parys,Parys Golf & Country Estate,460000,0,0.0,0,0
Price Reduced,Amber Valley,2600000,2,2.0,2,2
Secure estate stand in Parys,"Parys Golf & Country Estate, 3141 Blue Crane",375000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3243 Starling",488750,0,0.0,0,0
Magnificent Vacant Stand with Sea Views in Ballito!,"Ballito Central, 34B Patricia Road",3200000,0,0.0,0,0
Ideal Investment Property!,Birdswood,1740000,3,2.0,2,3
LOOK no further! ...make an OFFER Today!!!,Ngwelezana,653000,3,2.0,0,0
Vacant land earmarked for development.,"Annlin, Prt 1/20 Chervil Avenue",3805000,0,0.0,0,0
Unique find...Full title stand of 1020sqm,Murrayfield,880000,0,0.0,0,0
A patch of Paradise on the Vaal,"Parys Golf & Country Estate, 3179 Swallow",345000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3308 Hadeda",200000,0,0.0,0,0
7 Bedroom Home  Myburgh Park,"Myburgh Park, 5 Sandpiper",8995000,7,7.0,8,4
New Release - Kwazakhele,Kwazakhele,350000,2,2.0,2,0
Island View Village - All Cost Included,Island View,1450000,2,2.0,2,0
Guest house not to be missed!,Kriel,1600000,10,10.0,2,0
Cream of the Crop- available in Lindequesdrift,Parys,358000,0,0.0,0,0
Vacant stand in Leloko - Hartbeespoort,"Leloko Lifestyle & Eco Estate, 248/1066 Megan Street",690000,0,0.0,0,0
Magnificent Plot!!,Kruisfontein,330000,0,0.0,0,0
Secure estate stand in parys,"Parys Golf & Country Estate, 3235 Starling Avenue",425000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3183 Swallow Avenue",345000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3356 Hadeda",325000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3172 Swallow Avenue",402500,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3160 Blue Crane Avenue",402500,0,0.0,0,0
Secure Estate in Parys,Parys Golf & Country Estate,345000,0,0.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,345000,0,0.0,0,0
2nd Row Thatched Face-brick home in Britannia Bay,"Britannia Bay, 10 Oloff Hennig Crescent",2599000,4,4.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,350000,0,0.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,350000,0,0.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,345000,0,0.0,0,0
Secure estate stand in Parys,"Parys Golf & Country Estate, 3367 Hadeda Avenue",325000,0,0.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,325000,0,0.0,0,0
Secure Estate stand in Parys,Parys Golf & Country Estate,374000,0,0.0,0,0
Build here and live the dream,Parys Golf & Country Estate,425000,0,0.0,0,0
Perfect Stand on Secure Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Stand on Secure Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Stand on Secure Golf Estate Parys,Parys Golf & Country Estate,354000,0,0.0,0,0
Vacant Stand on Secure Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Stand on Secure Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Stand on Popular Golf Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Stand on Secure Golf Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Secure Stand on Golf Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Vacant Land on Secure estate Parys,Parys Golf & Country Estate,200000,0,0.0,0,0
Vacant Stand on Secure Estate Parys,Parys Golf & Country Estate,330000,0,0.0,0,0
Vacant Stand on Secure Estate Parys,Parys Golf & Country Estate,325000,0,0.0,0,0
Land on Secure Golf Estate Parys,Parys Golf & Country Estate,735000,0,0.0,0,0
Vacant  Stand on Secure Estate Parys,"Parys Golf & Country Estate, 3369 Hadeda Avenue",300000,0,0.0,0,0
Build your dream home with great sea views,"Freeland Park, 10 Wesley drive",700000,0,0.0,0,0
Spend less - Get more,Waterval East,600000,2,2.0,0,0
Vaaldam Golf Estate,Vaal Marina,4400000,4,3.0,0,0
6 Bedroom Guest House For Sale in Jacobsbaai,Jacobsbaai,8200000,6,6.0,7,2
Your own piece of history,"Cullinan, 54/54 Lewzene",2250000,3,2.0,0,0
Home Extraordinaire,Waterkloof Heights,8900000,4,3.0,0,0
Luxury living with possible sub division,Waterkloof Ridge,8000000,4,3.0,0,0
"Exceptional, unique and extraordinary",Waterkloof Park,5400000,4,4.0,0,0
Stunning Secure Complex in Zinkwazi Beach,Zinkwazi Beach,2940000,3,2.0,3,1
Secure ground floor apartment!,Kriel,650000,2,2.0,2,0
"Lock up and leave, across the road from Zinkwazi beach",Zinkwazi Beach,1695000,3,2.0,2,0
Thatch roof in Peninsula,Oranjeville,3500000,6,5.0,0,0
Forested Estate in Zinkwazi Beach,Zinkwazi Beach,,6,4.0,0,0
State-of-the-art,Barberton,2326500,3,1.0,0,0
Waterfront Unit - Vaaldam Complex,Vaal Marina,2150000,4,4.0,0,0
Modern renovated house in Parys perfect for young couple.,Parys,1170000,3,2.0,2,2
Beautiful Plot For Sale in St Helena Bay!,"Stompneus Bay, 4 Beach Road",320000,0,0.0,0,0
Perfect investment property!,Parys,1500000,5,4.0,0,0
"Ideal Business Property, Great Location!",Middedorp,1799000,4,2.0,2,2
Unique designer home!,Kriel,3000000,5,3.0,5,6
Sable Hills Waterfront Estate,"Sable Hills, 17/11 Hornbill Street",4500000,4,4.0,6,2
Looking for an investment,"Scottburgh Central, 302/1 Umdoni Heights, Cnr Adams and Marine Terrace",620000,2,1.0,1,0
Sea view plot for sale in Hartenbos,Hartenbos,2250000,0,0.0,0,0
Three Bedroom Home in a Gated Complex in Port Alfred,"West Bank, 6803 Royal Alfred Acre",1995000,3,4.0,4,0
Sterkstroom family home up for grabs,Sterkstroom,350000,3,1.0,0,0
Land for sale,Birdswood,925000,0,0.0,0,0
"Vacant stand with sea view Langebaan, West Coast.",Myburgh Park,950000,0,0.0,0,0
Walking Distance to The Beach,Aston Bay,300000,0,0.0,0,0
Awesome Three bedroom one Bathroom,Middedorp,495000,3,1.0,0,0
Lock up and enjoy . . .  . . .,Pioneer Park,640000,2,1.0,0,0
"House for sale in Boekenhoutskloof, Pretoria.",Boekenhoutskloof AH,8460000,4,2.5,0,0
Lindequesdrif Spacious thatch  home close to the Vaal River,Parys,3785000 ,4,3.0,2,3
River front house with a stunning view,Klein Brakrivier,7900000,11,11.0,2,0
"House for sale in Klipdrif, Pretoria.",Walmansthal AH,2350000,4,2.0,0,0
"Stunning Seaview plot For sale in Yzerfontein, West Coast","Yzerfontein, 24 Rust Street",2500000,0,0.0,0,0
Walking distance to the beach!!!,"Scottburgh Central, 601/1 Cnr Adams and Marine Terrace",650000,2,1.0,1,0
Vacant land for sale in Olifantsnek!,Olifantsnek,499000,0,0.0,0,0
Wembley - Sold,Wembley,2685000,3,2.0,0,0
Dreaming Of A Small Piece Of Jeffreys Bay,Wavecrest,1600000,0,0.0,0,0
A Dream Come True,Wavecrest,600000,0,0.0,0,0
4 Bedroom House for sale in Middedorp,"Middedorp, 9 Robben Street",3200000,4,3.5,0,0
"Equestrian secure living  - Klein Zevenwacht, Kuils River","Klein Zevenwacht, 4 Brut Close",9225000,6,5.0,6,3
"Move in an stay Roodeplaat, Pretoria.",Roodeplaat,2420000,3,2.0,6,0
